"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2001:4860:4864:6::70","2001:818:ea8d:1500:9a2:8687:28ad:13a4","DTLSv1.2","119","Application Model.Data"
"2","0.000055490","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2001:4860:4864:6::70","ICMPv6","167","Destination Unreachable (Port unreachable)"
"3","0.769329968","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a03:2880:f0ff:e:face:b00c:0:2","TLSv1.2","118","Application Model.Data"
"4","0.777877153","192.168.1.109","76.223.9.91","TLSv1.2","177","Application Model.Data"
"5","0.800604861","2a03:2880:f0ff:e:face:b00c:0:2","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  46666 [ACK] Seq=1 Ack=33 Win=945 Len=0 TSval=2187936710 TSecr=925336036"
"6","0.888570229","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","209","Application Model.Data"
"7","0.889395665","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","132","Application Model.Data"
"8","0.913585855","2a03:2880:f0ff:e:face:b00c:0:2","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","114","Application Model.Data"
"9","0.913660342","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a03:2880:f0ff:e:face:b00c:0:2","TCP","86","46666  >  443 [ACK] Seq=33 Ack=29 Win=2066 Len=0 TSval=925336180 TSecr=2187936823"
"10","0.928637601","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49490 [ACK] Seq=1 Ack=170 Win=127 Len=0 TSval=446612777 TSecr=1487726514"
"11","0.929806862","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","132","Application Model.Data"
"12","0.929881070","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49490  >  443 [ACK] Seq=170 Ack=47 Win=1073 Len=0 TSval=1487726555 TSecr=446612777"
"13","0.933417513","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","3816","Application Model.Data, Application Model.Data"
"14","0.933519354","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49490  >  443 [ACK] Seq=170 Ack=3777 Win=1096 Len=0 TSval=1487726559 TSecr=446612781"
"15","0.942880811","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=112 Win=167 Len=0 TSval=1904372151 TSecr=3536631139"
"16","1.266953197","192.168.1.109","192.168.1.1","DNS","132","Standard query 0xf04d PTR 0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.0.6.0.0.0.4.6.8.4.0.6.8.4.1.0.0.2.ip6.arpa"
"17","1.267117923","192.168.1.109","192.168.1.1","DNS","132","Standard query 0xe349 PTR 4.a.3.1.d.a.8.2.7.8.6.8.2.a.9.0.0.0.5.1.d.8.a.e.8.1.8.0.1.0.0.2.ip6.arpa"
"18","1.280428880","192.168.1.1","192.168.1.109","DNS","196","Standard query response 0xe349 No such name PTR 4.a.3.1.d.a.8.2.7.8.6.8.2.a.9.0.0.0.5.1.d.8.a.e.8.1.8.0.1.0.0.2.ip6.arpa SOA ns-a1.vodafone.pt"
"19","1.310802289","192.168.1.1","192.168.1.109","DNS","192","Standard query response 0xf04d No such name PTR 0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.0.6.0.0.0.4.6.8.4.0.6.8.4.1.0.0.2.ip6.arpa SOA ns1.google.com"
"20","2.086099502","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","1392","60611  >  443 Len=1330[Malformed Packet]"
"21","2.126827021","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","1392","Protected Payload (KP0), DCID=f2df8295d246a5e05879d2"
"22","2.127525437","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","221","Handshake, SCID=f430fd15be3d744f004047"
"23","2.127767268","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","1388","Protected Payload (KP0)"
"24","2.127791509","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","493","Protected Payload (KP0)"
"25","2.145096195","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","690","Protected Payload (KP0), DCID=d3fb16c88ba6f0eb4612b7"
"26","2.145096475","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","139","Protected Payload (KP0), DCID=9404af43bf4e94543d5bd0"
"27","2.145318857","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","95","Protected Payload (KP0)"
"28","2.147195194","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","89","Protected Payload (KP0), DCID=77d27570bf5d13960b1dc0"
"29","2.172171486","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","87","Protected Payload (KP0), DCID=791e82740689460a5c58ed"
"30","2.172330030","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","95","Protected Payload (KP0)"
"31","2.186374620","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","467","Protected Payload (KP0), DCID=5bd5666cabcbb35e018bb7"
"32","2.186374927","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","559","Protected Payload (KP0), DCID=f5149ac43d6a409310b03e"
"33","2.186675852","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","97","Protected Payload (KP0)"
"34","2.190537870","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","96","Protected Payload (KP0), DCID=e15316bf33cdd791b7db30"
"35","2.190538223","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","180","Protected Payload (KP0), DCID=bf6198e5b7f12895abcf99"
"36","2.190706253","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","95","Protected Payload (KP0)"
"37","2.216860311","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a00:1450:4003:80f::200e","QUIC","95","Protected Payload (KP0)"
"38","2.228880091","2a00:1450:4003:80f::200e","2001:818:ea8d:1500:9a2:8687:28ad:13a4","QUIC","87","Protected Payload (KP0), DCID=c8a71c77215484a88025df"
"39","2.266329802","192.168.1.109","192.168.1.1","DNS","132","Standard query 0xdb42 PTR 2.0.0.0.0.0.0.0.c.0.0.b.e.c.a.f.e.0.0.0.f.f.0.f.0.8.8.2.3.0.a.2.ip6.arpa"
"40","2.266434442","192.168.1.109","192.168.1.1","DNS","132","Standard query 0x65f4 PTR 6.e.9.7.e.a.2.e.6.6.0.1.4.b.5.7.1.0.4.4.6.c.d.0.c.1.0.d.5.0.a.2.ip6.arpa"
"41","2.266508949","192.168.1.109","192.168.1.1","DNS","86","Standard query 0x6932 PTR 109.1.168.192.in-addr.arpa"
"42","2.266572908","192.168.1.109","192.168.1.1","DNS","84","Standard query 0xa473 PTR 91.9.223.76.in-addr.arpa"
"43","2.266636091","192.168.1.109","192.168.1.1","DNS","84","Standard query 0x7a35 PTR 1.1.168.192.in-addr.arpa"
"44","2.273862672","192.168.1.1","192.168.1.109","DNS","110","Standard query response 0x6932 PTR 109.1.168.192.in-addr.arpa PTR wtv-pc.lan"
"45","2.274892800","192.168.1.1","192.168.1.109","DNS","108","Standard query response 0x7a35 PTR 1.1.168.192.in-addr.arpa PTR vodafonegw"
"46","2.275295626","192.168.1.1","192.168.1.109","DNS","424","Standard query response 0xdb42 PTR 2.0.0.0.0.0.0.0.c.0.0.b.e.c.a.f.e.0.0.0.f.f.0.f.0.8.8.2.3.0.a.2.ip6.arpa PTR edge-star6-shv-01-any2.facebook.com NS b.ns.facebook.com NS d.ns.facebook.com NS a.ns.facebook.com NS c.ns.facebook.com A 129.134.31.12 A 129.134.30.12 A 185.89.219.12 A 185.89.218.12 AAAA 2a03:2880:f0fd:c:face:b00c:0:35 AAAA 2a03:2880:f0fc:c:face:b00c:0:35 AAAA 2a03:2880:f1fd:c:face:b00c:0:35 AAAA 2a03:2880:f1fc:c:face:b00c:0:35"
"47","2.313747129","192.168.1.1","192.168.1.109","DNS","203","Standard query response 0x65f4 No such name PTR 6.e.9.7.e.a.2.e.6.6.0.1.4.b.5.7.1.0.4.4.6.c.d.0.c.1.0.d.5.0.a.2.ip6.arpa SOA dns-external-master.amazon.com"
"48","2.328699482","192.168.1.1","192.168.1.109","DNS","453","Standard query response 0xa473 PTR 91.9.223.76.in-addr.arpa PTR a592aa0a35a8dbaf5.awsglobalaccelerator.com NS ns-1103.awsdns-09.org NS ns-177.awsdns-22.com NS ns-1944.awsdns-51.co.uk NS ns-709.awsdns-24.net A 205.251.196.79 A 205.251.192.177 A 205.251.199.152 A 205.251.194.197 AAAA 2600:9000:5304:4f00::1 AAAA 2600:9000:5300:b100::1 AAAA 2600:9000:5307:9800::1 AAAA 2600:9000:5302:c500::1"
"49","3.266713296","192.168.1.109","192.168.1.1","DNS","132","Standard query 0x67e4 PTR e.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.f.0.8.0.3.0.0.4.0.5.4.1.0.0.a.2.ip6.arpa"
"50","3.276880812","192.168.1.1","192.168.1.109","DNS","429","Standard query response 0x67e4 PTR e.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.f.0.8.0.3.0.0.4.0.5.4.1.0.0.a.2.ip6.arpa PTR mad41s14-in-x0e.1e100.net NS ns2.google.com NS ns1.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"51","4.155689202","192.168.1.109","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"52","5.266869949","192.168.1.109","192.168.1.1","DNS","83","Standard query 0x5c3a PTR 22.0.0.224.in-addr.arpa"
"53","5.269974537","192.168.1.1","192.168.1.109","DNS","111","Standard query response 0x5c3a PTR 22.0.0.224.in-addr.arpa PTR igmp.mcast.net"
"54","5.862230035","IntelCor_5a:74:ae","HuaweiTe_ec:27:d4","ARP","42","Who has 192.168.1.1? Tell 192.168.1.109"
"55","5.865111416","HuaweiTe_ec:27:d4","IntelCor_5a:74:ae","ARP","42","192.168.1.1 is at 30:e9:8e:ec:27:d4"
"56","6.613532561","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","260","Application Model.Data"
"57","6.655404477","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=1 Ack=175 Win=165 Len=0 TSval=446618501 TSecr=1487732239"
"58","6.656138996","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","291","Application Model.Data"
"59","6.656207814","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49506  >  443 [ACK] Seq=175 Ack=206 Win=500 Len=0 TSval=1487732282 TSecr=446618503"
"60","7.419285220","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","1072","Application Model.Data"
"61","7.419325413","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49506  >  443 [ACK] Seq=175 Ack=1192 Win=493 Len=0 TSval=1487733045 TSecr=446619266"
"62","7.419899839","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","918","Application Model.Data"
"63","7.419918254","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49506  >  443 [ACK] Seq=175 Ack=2024 Win=493 Len=0 TSval=1487733045 TSecr=446619268"
"64","7.500499869","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","2942","443  >  49506 [ACK] Seq=2024 Ack=175 Win=165 Len=2856 TSval=446619348 TSecr=1487733045 [TCP segment of a reassembled PDU]"
"65","7.500535924","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49506  >  443 [ACK] Seq=175 Ack=4880 Win=477 Len=0 TSval=1487733126 TSecr=446619348"
"66","7.500575337","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TLSv1.2","2456","Application Model.Data"
"67","7.500583433","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","86","49506  >  443 [ACK] Seq=175 Ack=7250 Win=459 Len=0 TSval=1487733126 TSecr=446619348"
"68","7.501907227","192.168.1.109","76.223.9.91","TLSv1.2","571","Application Model.Data"
"69","7.502276543","192.168.1.109","76.223.9.91","TLSv1.2","344","Application Model.Data"
"70","7.547455224","192.168.1.109","76.223.9.91","TLSv1.2","313","Application Model.Data"
"71","7.550561130","192.168.1.109","76.223.9.91","TLSv1.2","313","Application Model.Data"
"72","7.551327252","192.168.1.109","76.223.9.91","TLSv1.2","291","Application Model.Data"
"73","7.608151549","192.168.1.109","76.223.9.91","TLSv1.2","431","Application Model.Data"
"74","7.608625887","192.168.1.109","76.223.9.91","TLSv1.2","345","Application Model.Data"
"75","7.610777684","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","345","Application Model.Data"
"76","7.610893069","192.168.1.109","192.168.1.1","DNS","109","Standard query 0x2d0d A meet-jit-si-eu-west-2a-s46-jvb-42-72-59.jitsi.net"
"77","7.610901872","192.168.1.109","192.168.1.1","DNS","109","Standard query 0x070f AAAA meet-jit-si-eu-west-2a-s46-jvb-42-72-59.jitsi.net"
"78","7.613665709","192.168.1.109","76.223.9.91","TLSv1.2","244","Application Model.Data"
"79","7.614987118","192.168.1.109","76.223.9.91","TLSv1.2","244","Application Model.Data"
"80","7.616570817","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=2614 Ack=1 Win=501 Len=1400 TSval=3536637978 TSecr=1904372151 [TCP segment of a reassembled PDU]"
"81","7.631294611","192.168.1.1","192.168.1.109","DNS","196","Standard query response 0x070f AAAA meet-jit-si-eu-west-2a-s46-jvb-42-72-59.jitsi.net SOA ns-1595.awsdns-41.co.uk"
"82","7.638277752","192.168.1.1","192.168.1.109","DNS","438","Standard query response 0x2d0d A meet-jit-si-eu-west-2a-s46-jvb-42-72-59.jitsi.net A 132.226.133.135 NS ns-840.awsdns-41.net NS ns-1595.awsdns-07.co.uk NS ns-1039.awsdns-01.org NS ns-271.awsdns-33.com A 205.251.196.15 A 205.251.198.59 A 205.251.193.15 A 205.251.195.72 AAAA 2600:9000:5304:f00::1 AAAA 2600:9000:5306:3b00::1 AAAA 2600:9000:5301:f00::1 AAAA 2600:9000:5303:4800::1"
"83","7.638462744","192.168.1.109","132.226.133.135","TCP","74","36428  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3900099280 TSecr=0 WS=128"
"84","7.660405473","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=434 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"85","7.660422997","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=1862 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"86","7.660426234","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [PSH, ACK] Seq=3290 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"87","7.660435509","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=4718 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"88","7.660438384","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=6146 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"89","7.660440831","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [PSH, ACK] Seq=7574 Ack=7250 Win=501 Len=1428 TSval=1487733286 TSecr=446619348 [TCP segment of a reassembled PDU]"
"90","7.662439393","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=9002 Ack=7250 Win=501 Len=1428 TSval=1487733288 TSecr=446619348 [TCP segment of a reassembled PDU]"
"91","7.662451315","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","657","Application Model.Data"
"92","7.666259104","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=617 Win=178 Len=0 TSval=1904378874 TSecr=3536637863"
"93","7.666285337","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=4014 Ack=1 Win=501 Len=1400 TSval=3536638028 TSecr=1904378874 [TCP segment of a reassembled PDU]"
"94","7.666293303","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [PSH, ACK] Seq=5414 Ack=1 Win=501 Len=1400 TSval=3536638028 TSecr=1904378874 [TCP segment of a reassembled PDU]"
"95","7.667334893","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=895 Win=189 Len=0 TSval=1904378875 TSecr=3536637864"
"96","7.667365183","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=6814 Ack=1 Win=501 Len=1400 TSval=3536638029 TSecr=1904378875 [TCP segment of a reassembled PDU]"
"97","7.667375666","192.168.1.109","76.223.9.91","TLSv1.2","1466","Application Model.Data [TCP segment of a reassembled PDU]"
"98","7.676802918","192.168.1.109","192.168.1.1","DNS","91","Standard query 0x15bd A meet-jit-si-turnrelay.jitsi.net"
"99","7.676827147","192.168.1.109","192.168.1.1","DNS","91","Standard query 0xbfb8 AAAA meet-jit-si-turnrelay.jitsi.net"
"100","7.679206144","132.226.133.135","192.168.1.109","TCP","74","443  >  36428 [SYN, ACK] Seq=0 Ack=1 Win=62636 Len=0 MSS=1412 SACK_PERM=1 TSval=3348744547 TSecr=3900099280 WS=2048"
"101","7.679244719","192.168.1.109","132.226.133.135","TCP","66","36428  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3900099321 TSecr=3348744547"
"102","7.679507446","192.168.1.109","132.226.133.135","TLSv1.2","583","Client Hello"
"103","7.690309444","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=11001 Ack=7250 Win=501 Len=1428 TSval=1487733316 TSecr=446619348 [TCP segment of a reassembled PDU]"
"104","7.690877528","192.168.1.109","10.42.72.59","STUN","146","Binding Request user: 35p7d1f6qctukj:760b"
"105","7.695479168","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=434 Win=171 Len=0 TSval=446619543 TSecr=1487733236"
"106","7.695508282","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=12429 Ack=7250 Win=501 Len=1428 TSval=1487733321 TSecr=446619543 [TCP segment of a reassembled PDU]"
"107","7.695518266","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [PSH, ACK] Seq=13857 Ack=7250 Win=501 Len=1428 TSval=1487733321 TSecr=446619543 [TCP segment of a reassembled PDU]"
"108","7.701007683","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=1862 Win=182 Len=0 TSval=446619548 TSecr=1487733286"
"109","7.701008704","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=3290 Win=194 Len=0 TSval=446619549 TSecr=1487733286"
"110","7.701008744","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=4718 Win=205 Len=0 TSval=446619549 TSecr=1487733286"
"111","7.701181885","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TCP","1514","49506  >  443 [ACK] Seq=15285 Ack=7250 Win=501 Len=1428 TSval=1487733327 TSecr=446619548 [TCP segment of a reassembled PDU]"
"112","7.701243212","2001:818:ea8d:1500:9a2:8687:28ad:13a4","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","TLSv1.2","562","Application Model.Data"
"113","7.702354967","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=6146 Win=216 Len=0 TSval=446619550 TSecr=1487733286"
"114","7.702355113","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=7574 Win=227 Len=0 TSval=446619550 TSecr=1487733286"
"115","7.703093894","192.168.1.1","192.168.1.109","DNS","420","Standard query response 0x15bd A meet-jit-si-turnrelay.jitsi.net A 193.123.56.76 NS ns-1595.awsdns-07.co.uk NS ns-271.awsdns-33.com NS ns-840.awsdns-41.net NS ns-1039.awsdns-01.org A 205.251.196.15 A 205.251.198.59 A 205.251.193.15 A 205.251.195.72 AAAA 2600:9000:5304:f00::1 AAAA 2600:9000:5306:3b00::1 AAAA 2600:9000:5301:f00::1 AAAA 2600:9000:5303:4800::1"
"116","7.703093949","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=9002 Win=238 Len=0 TSval=446619551 TSecr=1487733286"
"117","7.703093972","192.168.1.1","192.168.1.109","DNS","178","Standard query response 0xbfb8 AAAA meet-jit-si-turnrelay.jitsi.net SOA ns-1595.awsdns-41.co.uk"
"118","7.703507180","192.168.1.109","193.123.56.76","STUN","62","Binding Request"
"119","7.703671511","192.168.1.109","193.123.56.76","STUN","70","Allocate Request UDP"
"120","7.704023607","192.168.1.109","192.168.1.1","DNS","91","Standard query 0x1972 A meet-jit-si-turnrelay.jitsi.net"
"121","7.704030339","192.168.1.109","192.168.1.1","DNS","91","Standard query 0xe770 AAAA meet-jit-si-turnrelay.jitsi.net"
"122","7.704321447","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=10430 Win=249 Len=0 TSval=446619552 TSecr=1487733288"
"123","7.704321555","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=11001 Win=261 Len=0 TSval=446619552 TSecr=1487733288"
"124","7.709556035","192.168.1.1","192.168.1.109","DNS","107","Standard query response 0x1972 A meet-jit-si-turnrelay.jitsi.net A 193.123.56.76"
"125","7.710626278","192.168.1.1","192.168.1.109","DNS","91","Standard query response 0xe770 AAAA meet-jit-si-turnrelay.jitsi.net"
"126","7.710753601","192.168.1.109","193.123.56.76","TCP","74","52786  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1315046068 TSecr=0 WS=128"
"127","7.712755936","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=1142 Win=200 Len=0 TSval=1904378920 TSecr=3536637909"
"128","7.712771825","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=9614 Ack=1 Win=501 Len=1400 TSval=3536638074 TSecr=1904378920 [TCP segment of a reassembled PDU]"
"129","7.712778264","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [PSH, ACK] Seq=11014 Ack=1 Win=501 Len=1400 TSval=3536638074 TSecr=1904378920 [TCP segment of a reassembled PDU]"
"130","7.715290190","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=1389 Win=211 Len=0 TSval=1904378923 TSecr=3536637912"
"131","7.715301494","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=12414 Ack=1 Win=501 Len=1400 TSval=3536638077 TSecr=1904378923 [TCP segment of a reassembled PDU]"
"132","7.715306060","192.168.1.109","76.223.9.91","TLSv1.2","1466","Application Model.Data, Application Model.Data, Application Model.Data"
"133","7.716717377","76.223.9.91","192.168.1.109","TCP","66","443  >  48222 [ACK] Seq=1 Ack=1614 Win=222 Len=0 TSval=1904378924 TSecr=3536637913"
"134","7.716729383","192.168.1.109","76.223.9.91","TCP","1466","48222  >  443 [ACK] Seq=15214 Ack=1 Win=501 Len=1400 TSval=3536638078 TSecr=1904378924 [TCP segment of a reassembled PDU]"
"135","7.716733935","192.168.1.109","76.223.9.91","TLSv1.2","1466","Application Model.Data, Application Model.Data, Application Model.Data, Application Model.Data, Application Model.Data"
"136","7.720979280","132.226.133.135","192.168.1.109","TCP","66","443  >  36428 [ACK] Seq=1 Ack=518 Win=63488 Len=0 TSval=3348744588 TSecr=3900099321"
"137","7.730098796","2a05:d01c:dc6:4401:75b4:1066:e2ae:79e6","2001:818:ea8d:1500:9a2:8687:28ad:13a4","TCP","86","443  >  49506 [ACK] Seq=7250 Ack=12429 Win=272 Len=0 TSval=446619578 TSecr=1487733316"
